create_time,bid,bn,campaign_id,cd,custom_track,de,dl,dt,ed,ev,group_id,id,job_id,md,publisher_id,rl,sr,ts,tz,ua,uid,utm_campaign,utm_content,utm_medium,utm_source,utm_term,v,vp
f7346e40-0667-11ed-b05a-72ef16420234,,Chrome 103,,24,click,UTF-8,http://129.213.68.90/candidate-portal/,CandidatePortal,"{""customEvent"":""click"",""jobId"":10,""publisherId"":0,""userId"":78}",2,,f7346e40-0667-11ed-b05a-72ef16420234,10,true,0,,1920x1080,2022-07-18 07:05:11.130,-420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-d605eqrr-l5m5ugxa,,,,,,1,1920x887
eccd3a50-018e-11ed-a3a2-5bc13a21fb20,,Chrome 103,,24,click,UTF-8,http://localhost:4200/candidate-portal/job/191,CandidatePortal,"{""customEvent"":""click"",""jobId"":""191"",""publisherId"":0,""userId"":123}",2,,eccd3a50-018e-11ed-a3a2-5bc13a21fb20,191,true,0,http://localhost:4200/candidate-portal/job,1920x1080,2022-07-12 03:01:28.527,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-rrc3k5vd-l4o0b4yy,,,,,,1,1367x929
a2f155a0-0d60-11ed-b4f8-558afb9ad519,1,Chrome 103,93,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/ec972305bf4fd6cdf2b3701dbebc4a5385bd3258?param1=258&param2=1,CandidatePortal,,1,,a2f155a0-0d60-11ed-b4f8-558afb9ad519,258,true,1,,1366x768,2022-07-27 04:00:23.291,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1,1366x625
a54b7240-0d60-11ed-ad0e-7d6ae288dd00,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/188?jobId=188&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""188"",""publisherId"":""1"",""stayed_alive"":10}",2,,a54b7240-0d60-11ed-ad0e-7d6ae288dd00,188,true,1,,1366x768,2022-07-27 04:00:27.243,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1,1366x625
f5009130-0d60-11ed-a51a-eb5142fffd86,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/258?jobId=258&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""258"",""publisherId"":""1"",""stayed_alive"":10}",2,,f5009130-0d60-11ed-a51a-eb5142fffd86,258,true,1,,1366x768,2022-07-27 04:02:40.993,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1,1366x625
f66ee110-0b59-11ed-8d9a-35d6a32d602e,1,Chrome 103,48,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/3235a2389bed6cdd59ad37ff23c1b6b4fb2d1668?param1=188&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""188"",""publisherId"":""1""}",2,34,f66ee110-0b59-11ed-8d9a-35d6a32d602e,188,true,1,,1366x768,2022-07-24 14:07:33.270,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-zof0i457-l5ze6uuv,,,,,,1,1366x625
007515c0-0c00-11ed-bf5f-e1c744e3dd80,0,Chrome 103,222,24,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/700021a879721bc97b85d800ff96e8c72b3e9869?param1=1530&param2=1,CandidatePortal,,1,,007515c0-0c00-11ed-bf5f-e1c744e3dd80,1530,true,1,,1366x768,2022-07-25 09:56:06.975,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-yh82s4al-l60jlqwa,,,,,,1,1366x568
fbfa3290-07fa-11ed-8307-7dae6cb435a1,,Chrome 102,,24,click,UTF-8,http://localhost:4200/candidate-portal/,CandidatePortal,"{""customEvent"":""click"",""jobId"":2,""publisherId"":0,""userId"":97}",2,,fbfa3290-07fa-11ed-8307-7dae6cb435a1,2,true,0,http://localhost:4200/candidate-portal/,1920x1080,2022-07-20 07:10:06.310,-420,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-ok78d38x-l5j7ka8p,,,,,,1,1920x976
918fe490-0caf-11ed-b7b5-7a4b3cd5cd50,2,Chrome 103,4,24,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/a9df1f103a849b2071e827e951a7c69cc917699a?param1=98&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""98"",""publisherId"":""1""}",2,,918fe490-0caf-11ed-b7b5-7a4b3cd5cd50,98,true,1,,1366x768,2022-07-26 06:52:53.275,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-kntupfok-l61tduvk,,,,,,1,1366x625
91cee960-0caf-11ed-b180-6c4d09b35fb5,,Chrome 103,,24,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/98?jobId=98&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""98"",""publisherId"":""1"",""stayed_alive"":10}",2,,91cee960-0caf-11ed-b180-6c4d09b35fb5,98,true,1,,1366x768,2022-07-26 06:52:53.893,-420,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-kntupfok-l61tduvk,,,,,,1,1366x625
